backend,mode,operation,dataset,input_rows,repeat,status,seconds,reason,warnings,validated,source_file
pandas,standard,sum_columns,large,200000,0.0,ok,0.039602792999971825,,[],True,large-pandas.json
pandas,standard,sum_columns,large,200000,1.0,ok,0.019178093999926205,,[],True,large-pandas.json
pandas,standard,sum_columns,large,200000,2.0,ok,0.0268503460000602,,[],True,large-pandas.json
pandas,standard,product_columns,large,200000,0.0,ok,0.01372200100001919,,[],True,large-pandas.json
pandas,standard,product_columns,large,200000,1.0,ok,0.01828663499998129,,[],True,large-pandas.json
pandas,standard,product_columns,large,200000,2.0,ok,0.0266623330001039,,[],True,large-pandas.json
pandas,standard,std,large,200000,0.0,ok,0.0064832829999659225,,[],True,large-pandas.json
pandas,standard,std,large,200000,1.0,ok,0.006569670999965638,,[],True,large-pandas.json
pandas,standard,std,large,200000,2.0,ok,0.007568453999965641,,[],True,large-pandas.json
pandas,standard,mean_sum,large,200000,0.0,ok,0.007416390000003048,,[],True,large-pandas.json
pandas,standard,mean_sum,large,200000,1.0,ok,0.020853766999948675,,[],True,large-pandas.json
pandas,standard,mean_sum,large,200000,2.0,ok,0.01295820799998637,,[],True,large-pandas.json
pandas,standard,join_count,large,200000,0.0,ok,0.013137523999944278,,[],True,large-pandas.json
pandas,standard,join_count,large,200000,1.0,ok,0.00808892600002764,,[],True,large-pandas.json
pandas,standard,join_count,large,200000,2.0,ok,0.012868763000028594,,[],True,large-pandas.json
pandas,standard,value_counts,large,200000,0.0,ok,0.008292822999919736,,[],True,large-pandas.json
pandas,standard,value_counts,large,200000,1.0,ok,0.008767758999965736,,[],True,large-pandas.json
pandas,standard,value_counts,large,200000,2.0,ok,0.021346187000062855,,[],True,large-pandas.json
pandas,standard,complex,large,200000,,skipped,,source lacks coordinates,,,large-pandas.json
pandas,standard,mean_product,large,200000,0.0,ok,0.007019002999982149,,[],True,large-pandas.json
pandas,standard,mean_product,large,200000,1.0,ok,0.0072432340000432305,,[],True,large-pandas.json
pandas,standard,mean_product,large,200000,2.0,ok,0.013036579000072379,,[],True,large-pandas.json
pandas,standard,read_collect,large,200000,0.0,ok,0.007168544000023758,,[],True,large-pandas.json
pandas,standard,read_collect,large,200000,1.0,ok,0.008114199000033295,,[],True,large-pandas.json
pandas,standard,read_collect,large,200000,2.0,ok,0.007236083999941911,,[],True,large-pandas.json
pandas,standard,count,large,200000,0.0,ok,0.006685911999966265,,[],True,large-pandas.json
pandas,standard,count,large,200000,1.0,ok,0.011790296000071976,,[],True,large-pandas.json
pandas,standard,count,large,200000,2.0,ok,0.012148289000037948,,[],True,large-pandas.json
pandas,standard,groupby,large,200000,0.0,ok,0.026837386000011065,,[],True,large-pandas.json
pandas,standard,groupby,large,200000,1.0,ok,0.014399519999983568,,[],True,large-pandas.json
pandas,standard,groupby,large,200000,2.0,ok,0.015825693000010688,,[],True,large-pandas.json
pandas,standard,join,large,200000,0.0,ok,0.008713402000012138,,[],True,large-pandas.json
pandas,standard,join,large,200000,1.0,ok,0.00925009399998089,,[],True,large-pandas.json
pandas,standard,join,large,200000,2.0,ok,0.008180726999967192,,[],True,large-pandas.json
pandas,standard,mean,large,200000,0.0,ok,0.007458145999976296,,[],True,large-pandas.json
pandas,standard,mean,large,200000,1.0,ok,0.010077960999979041,,[],True,large-pandas.json
pandas,standard,mean,large,200000,2.0,ok,0.014966085999958523,,[],True,large-pandas.json
pandas,standard,mean_complex,large,200000,,skipped,,source lacks coordinates,,,large-pandas.json
pandas,standard,read_construct,large,200000,0.0,ok,0.0069505970000136585,,[],False,large-pandas.json
pandas,standard,read_construct,large,200000,1.0,ok,0.006968849000031696,,[],False,large-pandas.json
pandas,standard,read_construct,large,200000,2.0,ok,0.007171787999936896,,[],False,large-pandas.json
