dataset,mode,operation,backend,median_seconds,min_seconds,max_seconds,repeats
medium,filtered_cached,sum_columns,dask,0.00430180199998631,0.004024361999995563,0.004637636999973438,3
medium,filtered_cached,sum_columns,joblib-pandas,0.00024143600001025334,0.00023626899996997963,0.00025061999997433304,3
medium,filtered_cached,sum_columns,pandas,0.0002484659999026917,0.00022445100000823004,0.00025775999995403254,3
medium,filtered_cached,value_counts,dask,0.01523442499990324,0.014086710000015046,0.015785233999963566,3
medium,filtered_cached,value_counts,joblib-pandas,0.0005896700000675992,0.0005689889999302977,0.0006123430000570806,3
medium,filtered_cached,value_counts,pandas,0.0006045919999451144,0.0005446740000252248,0.0008303649999561458,3
medium,standard,count,dask,0.005769408999981351,0.0052922849999959,0.006112014999985149,3
medium,standard,count,joblib-pandas,0.013432298999987324,0.013353714000004402,0.01348557799997252,3
medium,standard,count,pandas,0.004169249999904423,0.0040961319999723855,0.00449574100002792,3
medium,standard,count_index,dask,0.012721223999960785,0.010878713000010976,0.01354972700005419,3
medium,standard,count_index,joblib-pandas,0.014627646999997523,0.013785194999968553,0.015433875999974589,3
medium,standard,count_index,pandas,0.004187938000086433,0.004160772999966866,0.004310458000077233,3
medium,standard,groupby,dask,0.03406860500001585,0.03381233799996153,0.04147508200003358,3
medium,standard,groupby,joblib-pandas,0.016882323000004362,0.016770011999938106,0.020037728000033894,3
medium,standard,groupby,pandas,0.007427615999972659,0.007145991000015783,0.007451091999996606,3
medium,standard,join,dask,0.01831034700001055,0.016052643999955762,0.01897527899996021,3
medium,standard,join,joblib-pandas,0.01537037799994323,0.014575831000001926,0.036816578000070876,3
medium,standard,join,pandas,0.005234341000004861,0.004846999000051255,0.006570887999941988,3
medium,standard,join_count,dask,0.02067583999996714,0.019246158999976615,0.02127737800003615,3
medium,standard,join_count,joblib-pandas,0.015082247999998799,0.014650411000047825,0.015187823000019307,3
medium,standard,join_count,pandas,0.006610131999991609,0.006117590000030759,0.008962742999983675,3
medium,standard,mean,dask,0.013892854000005173,0.013507324999977754,0.015137111000058212,3
medium,standard,mean,joblib-pandas,0.014303730000051473,0.01382680500000788,0.015557865000005222,3
medium,standard,mean,pandas,0.0040585670000155005,0.0038755369999989853,0.004358048000085546,3
medium,standard,mean_product,dask,0.014751511999975264,0.014453501999923901,0.015216958999985764,3
medium,standard,mean_product,joblib-pandas,0.014145857000016804,0.013792926000064654,0.01508309400003327,3
medium,standard,mean_product,pandas,0.004672534000064843,0.00425089600003048,0.004888456999992741,3
medium,standard,mean_sum,dask,0.015384606999987227,0.015181095999992067,0.015457223999987946,3
medium,standard,mean_sum,joblib-pandas,0.013852734000010969,0.013569826999969337,0.013992640999958894,3
medium,standard,mean_sum,pandas,0.006831142000010004,0.004814672999941649,0.012509669999985817,3
medium,standard,product_columns,dask,0.01247204599997076,0.01160917199990763,0.013231908000079784,3
